"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.574915794868e-45,3.86740785900793,0.264,0.019,4.9455078016274e-41,"2","adgrb3"
9.21756450844503e-44,4.01593876054617,0.287,0.026,8.17690147544159e-40,"2","LOC102682177"
1.06052001769882e-43,3.84829903606022,0.292,0.028,9.40787307700625e-40,"2","LOC102695531"
5.11042474511442e-40,2.93955764476376,0.348,0.05,4.533457791391e-36,"2","LOC102690192"
7.55722273314549e-40,3.7635186158632,0.258,0.023,6.70401228657337e-36,"2","nrxn3a"
1.16005537536827e-39,3.62441120641068,0.264,0.025,1.02908512348919e-35,"2","negr1"
2.13563979101299e-39,3.23140001346183,0.331,0.046,1.89452605860763e-35,"2","pcdh7b"
5.76363224099795e-39,3.39578683136272,0.281,0.03,5.11291816098928e-35,"2","grid2"
1.63106487374675e-38,3.23613016537423,0.337,0.05,1.44691764950075e-34,"2","LOC102686692"
7.88837441801933e-35,2.99014803008612,0.326,0.052,6.99777694622494e-31,"2","gphna"
2.24518318636986e-34,3.46871835381657,0.27,0.034,1.9917020046287e-30,"2","csmd1a"
1.57452989491216e-29,2.92100724839198,0.287,0.047,1.39676546977658e-25,"2","ptprsa"
7.91860594477592e-29,2.79036022808184,0.292,0.051,7.02459533361072e-25,"2","ctnna2"
1.31416403284234e-26,3.24576138735811,0.253,0.041,1.16579491353444e-22,"2","cadm1a"
1.08449704878981e-16,2.5496995148164,0.326,0.111,9.62057331981443e-13,"2","LOC102695388"
3.10407883074057e-14,2.1551588385772,0.264,0.081,2.75362833074996e-10,"2","robo2"
5.8488875741569e-14,1.71128865709065,0.32,0.116,5.18854816703459e-10,"2","LOC102684295"
2.39150525015086e-49,1.04573923373808,1,0.88,2.12150430740882e-45,"3","LOC102682520"
1.94384472402021e-46,1.29862772485427,0.989,0.587,1.72438465467833e-42,"3","myl1"
5.21571386411959e-46,1.45632012641452,0.943,0.476,4.62685976886049e-42,"3","tpm1"
8.89293653190504e-46,1.36451580757324,0.96,0.565,7.88892399745296e-42,"3","ckma"
3.80036761862128e-42,1.2521588925618,0.966,0.599,3.37130611447894e-38,"3","LOC102684028"
1.33690762794498e-40,1.33946846874311,0.949,0.559,1.18597075674999e-36,"3","LOC102698088"
1.25203933691656e-38,1.1897547850983,0.966,0.571,1.11068409577868e-34,"3","LOC102692297"
9.94170677041826e-37,0.767663715243665,1,0.949,8.81928807603804e-33,"3","ttn.2"
6.32555308616713e-36,1.17424978931009,0.949,0.561,5.61139814273886e-32,"3","actc1a"
1.01871090056982e-35,1.33211807688637,0.886,0.42,9.03698439895489e-32,"3","LOC102696099"
3.46582122845582e-35,1.30501349674242,0.943,0.552,3.07453001176315e-31,"3","LOC102692097"
3.82096861315401e-35,1.42575418818049,0.812,0.353,3.38958125672892e-31,"3","LOC102685697"
4.39143030051706e-34,0.970671118104502,0.989,0.693,3.89563781958869e-30,"3","LOC102685487"
